Product,Revenue,Revenue_MAN,Revenue_WOMAN,Items_sold,Items_sold_MAN,Items_sold_WOMAN,Number_of_fragrancies,Fragrancies_MAN,Fragrancies_WOMAN,Tital_items,Items_MAN,Items_WOMAN
"TOMMY BOY EST 1985 by Tommy Hilfiger Cologne edt men 34  33 oz NEW in BOX",316784,316784,0,12184,12184,0,1,1,0,1,1,0
"KENNETH COLE BLACK Cologne for Men 34 oz EDT Spray New in Box",309096,309096,0,12879,12879,0,1,1,0,1,1,0
"GUCCI GUILTY POUR HOMME  Cologne for Men  EDT  30 oz  BRAND NEW IN BOX",303166,303166,0,5227,5227,0,1,1,0,1,1,0
"The One by Dolce  Gabbana 5  50 oz EDT Cologne for Men New In Box",298179,298179,0,4733,4733,0,1,1,0,1,1,0
"COACH NEW YORK by Coach cologne for men EDT 33  34 oz New In Box",273312,273312,0,7592,7592,0,1,1,0,1,1,0
"ARMAF CLUB DE NUIT INTENSE 36 oz FOR MEN EDT SOLE OFFICIAL DISTRIBUTOR OF ARMAF",268320,268320,0,8385,8385,0,1,1,0,1,1,0
"Light Blue by Dolce  Gabbana 42 oz Cologne for Men Tester with Cap",267032,267032,0,9208,9208,0,1,1,0,1,1,0
"Mont Blanc Legend Spirit 67 oz EDT Cologne for Men New In Box",265096,265096,0,5098,5098,0,1,1,0,1,1,0
"Amarige by Givenchy 33  34 oz EDT Perfume for Women New In Box",251403,0,251403,5349,0,5349,1,0,1,1,0,1
"Brit Sheer by Burberry 33  34 oz EDT Perfume for Women New In Box",243110,0,243110,6946,0,6946,1,0,1,1,0,1
"Prada Luna Rossa by Prada 34 oz EDT Cologne for Men New In Box",233016,233016,0,2774,2774,0,1,1,0,1,1,0
"Versace Bright Crystal Absolu by Versace 30 oz EDP Perfume for Women Tester",232470,0,232470,5166,0,5166,1,0,1,1,0,1
"Polo Green by Ralph Lauren 8  80 oz EDT Cologne for Men New In Box",228312,228312,0,3171,3171,0,1,1,0,1,1,0
"Eternity by CK Calvin Klein 34 oz EDP Perfume for Women Tester",224576,0,224576,7018,0,7018,1,0,1,1,0,1
