Product,Revenue,Revenue_MAN,Revenue_WOMAN,Items_sold,Items_sold_MAN,Items_sold_WOMAN,Number_of_fragrancies,Fragrancies_MAN,Fragrancies_WOMAN,Tital_items,Items_MAN,Items_WOMAN
"Eternity Flame by Calvin Klein 34 oz EDT Cologne for Men New In Box",38400,38400,0,1536,1536,0,1,1,0,1,1,0
"Pure Instinct Pheromone Cologne For Him,Sex Attractant, Mens Best Pheromone 1oz",38352,38352,0,2256,2256,0,1,1,0,1,1,0
"ARPEGE by Lanvin 33  34 oz EDP For Women New in Box Sealed",38040,0,38040,1585,0,1585,1,0,1,1,0,1
"Diesel Only The Brave by Diesel EDT Cologne for Men 67 oz New In Box",37912,37912,0,677,677,0,1,1,0,1,1,0
"DRAKKAR NOIR by Guy Laroche 34 oz  33 oz edt spray for Men New UNBOXED",37520,37520,0,2345,2345,0,1,1,0,1,1,0
"DIAMONDS AND RUBIES by ELIZABETH TAYLOR 33 oz  34 oz edt NEW in Box",37485,0,37485,2499,0,2499,1,0,1,1,0,1
"Incanto Charms by Salvatore Ferragamo for women EDT 33  34 oz New Tester",37009,0,37009,2177,0,2177,1,0,1,1,0,1
"BORA BORA by Liz Claiborne perfume for women EDP 34 oz New in Box",36652,0,36652,2156,0,2156,1,0,1,1,0,1
"Armaf Tres Nuit 34 oz100ml Eau De Toilette for Men",36568,36568,0,1306,1306,0,1,1,0,1,1,0
"Knowing by Estee Lauder 25 oz EDP Perfume for Women New In Box",36456,0,36456,868,0,868,1,0,1,1,0,1
"Miami Glow by JLO Jennifer Lopez EDT Perfume for Women 34 oz New In Box",36248,0,36248,1576,0,1576,1,0,1,1,0,1
"Givenchy Gentleman 33ozEau de Toilette INTENSE Spray for Men New in Sealed Box",36161,36161,0,619,619,0,1,1,0,1,1,0
"CURVE for Men by Liz Claiborne 42 oz edt Cologne Spray New in Can  TIN",36099,36099,0,1337,1337,0,1,1,0,1,1,0
"Fancy by Jessica Simpson 33  34 oz edp perfume women NEW in Retail Box",36036,0,36036,1386,0,1386,1,0,1,1,0,1
"Euphoria by Calvin Klein 67 oz Sensual Skin Body Lotion for Women Brand New",36036,0,36036,2002,0,2002,1,0,1,1,0,1
"Donna Karan Cashmere Mist 34 oz  100ml Women Eau de Parfum Brand New Sealed",35931,0,35931,1239,0,1239,1,0,1,1,0,1
"JAIPUR Homme by Boucheron cologne 33  34 oz EDP For Men New in Box",35840,35840,0,1024,1024,0,1,1,0,1,1,0
"Individuel by Mont Blanc 25 oz EDT Cologne for Men New In Box",35600,35600,0,1424,1424,0,1,1,0,1,1,0
"Hollister Wave by Hollister 34 oz EDP Perfume for Women Brand New In Box",35388,0,35388,1966,0,1966,1,0,1,1,0,1
"Red Jeans by Versus Versace 25 oz Perfume for Women New In Box",35280,0,35280,1960,0,1960,1,0,1,1,0,1
"Promise Me by Aeropostale, 34 oz EDP Spray for Women",34788,0,34788,1338,0,1338,1,0,1,1,0,1
"Azzaro Pour Homme by Azzaro 34 oz EDT Cologne for Men 33 100 ml New In Box",34762,34762,0,1337,1337,0,1,1,0,1,1,0
"CURVE by Liz Claiborne 34  33 oz edt Perfume for women New in Can",34668,0,34668,1926,0,1926,1,0,1,1,0,1
"VERSACE CRYSTAL NOIR for women EDT 30 oz New Tester",33880,0,33880,847,0,847,1,0,1,1,0,1
"Club de Nuit by Armaf perfume for women EDP 68 oz New in Box",33516,0,33516,931,0,931,1,0,1,1,0,1
"Coach Wild Rose 3 oz EDP Perfume for Women New In Box",33432,0,33432,796,0,796,1,0,1,1,0,1
"Sauvage Dior Eau De Parfum MINATURE 10ml  034 oz ",33300,33300,0,1332,1332,0,1,1,0,1,1,0
"LANVIN LHomme by Lanvin Cologne L Homme for Men 34 oz EDT New in Box",33235,33235,0,1955,1955,0,1,1,0,1,1,0
"FANTASY Britney Spears women perfume edp 33 oz 34 NEW TESTER",32472,0,32472,1804,0,1804,1,0,1,1,0,1
"Guess 1981 by Guess cologne for men EDT 33  34 oz New in Box",32260,32260,0,1613,1613,0,1,1,0,1,1,0
"VERSACE EROS FLAME by Versace for men cologne EDP 33  34 oz New in Box",31900,31900,0,550,550,0,1,1,0,1,1,0
"Curve Chill by Liz Claiborne Cologne for Men 42 oz New In Box",31872,31872,0,1992,1992,0,1,1,0,1,1,0
"Bharara King Eau De Parfum Men 34 Oz",31820,31820,0,430,430,0,1,1,0,1,1,0
"GENTLEMEN ONLY by Givenchy Cologne 33  34 oz EDT Cologne For Men New in Box",31800,31800,0,636,636,0,1,1,0,1,1,0
"KOUROS by Yves Saint Laurent 33 EDT Cologne MEN 34 oz YSL New in Box",31610,31610,0,545,545,0,1,1,0,1,1,0
"ARMAF CLUB DE NUIT INTENSE  MILESTONE  SILLAGE 10 oz 3PC SET  FREE SAMPLE",31525,31525,0,485,485,0,1,1,0,1,1,0
"SO DE LA RENTA Oscar 33  34 oz EDT For Women New in Box",31388,0,31388,1652,0,1652,1,0,1,1,0,1
"Starwalker by Mont Blanc 25 oz EDT Cologne for Men Brand New Tester",31328,31328,0,1424,1424,0,1,1,0,1,1,0
"Light Blue by Dolce  Gabbana, 33 oz EDT Spray for Women",31115,0,31115,635,0,635,1,0,1,1,0,1
"Azzaro Wanted Tonic by Azzaro 34 oz EDT Cologne for Men Brand New Tester",30780,30780,0,1140,1140,0,1,1,0,1,1,0
"Tom Ford Noir Extreme by Tom Ford 34 oz EDP Cologne for Men New In Box",30392,30392,0,262,262,0,1,1,0,1,1,0
"Laventure Knight by Al Haramain cologne for men EDP 33  34 oz New in Box",29940,29940,0,998,998,0,1,1,0,1,1,0
"Jessica Mc Clintock by Jessica McClintock 34 oz EDP Perfume for Women Tester",29680,0,29680,1484,0,1484,1,0,1,1,0,1
"Bad Boy Le Parfum by Carolina Herrera 34 oz EDP Spray for Men New NO BOX",29264,29264,0,496,496,0,1,1,0,1,1,0
"OSCAR by Oscar de la Renta for women EDT 67 oz New in Box",29154,0,29154,678,0,678,1,0,1,1,0,1
"SUNFLOWERS by Elizabeth Arden for women EDT 33  34 oz New in Box",28905,0,28905,1927,0,1927,1,0,1,1,0,1
"Cool Water Intense by Davidoff 42 oz EDP Cologne for Men New In Box",28866,28866,0,849,849,0,1,1,0,1,1,0
"Gardenia by Elizabeth Taylor Perfume for Women edp 34 oz Brand New In Box",28764,0,28764,1692,0,1692,1,0,1,1,0,1
"Cabotine De Gres by Parfums 33  34 oz EDT Perfume For Women NEW IN BOX",27986,0,27986,1999,0,1999,1,0,1,1,0,1
"YACHT MAN DENSE by Myrurgia cologne EDT 33  34 oz New in Box",27837,27837,0,3093,3093,0,1,1,0,1,1,0
"K by Dolce  Gabbana cologne for men EDT 33  34 oz New Tester",27756,27756,0,771,771,0,1,1,0,1,1,0
"Prada LHomme 34 oz EDT Cologne for Men New In Box",27692,27692,0,322,322,0,1,1,0,1,1,0
"BURBERRY CLASSIC by Burberry perfume for women EDP 33  34 oz New in Box",27550,0,27550,725,0,725,1,0,1,1,0,1
"Giorgio Armani Acqua Di Gio 67oz  200ml Mens Eau de Toilette Spray Brand New",27526,27526,0,607,607,0,1,1,0,1,1,0
"Michael Kors CLASSICOriginal Formula Eau De Parfum 3Pcs Set   New With Box",27508,0,27508,92,0,92,1,0,1,1,0,1
"F by Ferragamo Pour Homme cologne EDT 33  34 oz New in Box",27222,27222,0,1047,1047,0,1,1,0,1,1,0
"BHARARA KING men 34 Oz Eau de Parfum spray NEW IN BOX",27136,27136,0,512,512,0,1,1,0,1,1,0
"Viktor  Rolf Flowerbomb Ruby Orchid 34 oz Eau de Parfum Spray",26386,0,26386,334,0,334,1,0,1,1,0,1
"Valentino Uomo Born In Roma 34 oz Eau de Toilette Spray for Men New in Box",26255,26255,0,295,295,0,1,1,0,1,1,0
"AB SPIRIT MILLIONAIRE by Lomani men 33 oz 34 edt cologne NEW IN BOX",26080,26080,0,1630,1630,0,1,1,0,1,1,0
"Coach Floral by Coach EDP 3  30 oz Perfume for Women Brand New Tester",26078,0,26078,767,0,767,1,0,1,1,0,1
"HALLOWEEN MAN X EDT 42 OZ  125 ML FOR MEN NEW IN WHITE BOX",25980,25980,0,866,866,0,1,1,0,1,1,0
"VIVA LA JUICY by Juicy Couture perfume for women EDP 33  34 oz New Tester",25694,0,25694,886,0,886,1,0,1,1,0,1
"Jesus Del Pozo Halloween Perfume for Women 34 oz 33 Spray New in Box Sealed",25584,0,25584,984,0,984,1,0,1,1,0,1
"Light Blue Eau Intense by Dolce  Gabbana, 67 oz EDP Spray for Men",25530,25530,0,370,370,0,1,1,0,1,1,0
"Bleu Noir by Narciso Rodriguez 33 34 oz EDP Cologne for Men New In Box",25488,25488,0,432,432,0,1,1,0,1,1,0
"SAUVAGE by Christian Dior EDP For Men 68 oz  200 ml NEW IN SEALED BOX",25440,25440,0,160,160,0,1,1,0,1,1,0
"Hidden Fantasy by Britney Spears 33  34 oz EDP For Women NEW IN BOX",25403,0,25403,1337,0,1337,1,0,1,1,0,1
"Good Girl Perfume by Carolina Herrera 51 oz Eau de Parfum Spray New NO Box",25365,0,25365,285,0,285,1,0,1,1,0,1
"Sirene by Vicky Tiel 33  34 oz EDP For Women New in Box",25128,0,25128,1396,0,1396,1,0,1,1,0,1
"Sweet Like Candy by Ariana Grande perfume 33  34 oz edp New Tester",24824,0,24824,856,0,856,1,0,1,1,0,1
"DAISY by Marc Jacobs for women EDT 33  34 oz New in Box",24510,0,24510,430,0,430,1,0,1,1,0,1
"FOREVER by Alfred Sung for Women Perfume 42 oz New in Box",24256,0,24256,1516,0,1516,1,0,1,1,0,1
"Not A Perfume by Juliette Has A Gun, 33 oz EDP Spray for Women TESTER",24123,0,24123,561,0,561,1,0,1,1,0,1
"Black Opium Yves Saint Laurent 30 oz Eau De Parfum Perfume New Factory Sealed",24080,0,24080,602,0,602,1,0,1,1,0,1
"Nautica Voyage Heritage by Nautica 34 oz EDT Cologne for Men New In Box",23976,23976,0,1332,1332,0,1,1,0,1,1,0
"Light Blue by Dolce  Gabbana 33  34 oz EDT Perfume for Women New In Box",23809,0,23809,821,0,821,1,0,1,1,0,1
"XS by Paco Rabanne cologne for men EDT 33  34 oz New Tester",23772,23772,0,849,849,0,1,1,0,1,1,0
"Bora Bora by Liz Claiborne cologne for men EDC 33  34 oz New in Box",23290,23290,0,1370,1370,0,1,1,0,1,1,0
"Gucci Flora Gorgeous Gardenia 33 oz EDP Perfume for Women New In Box",22848,0,22848,272,0,272,1,0,1,1,0,1
"ILLICIT FLOWER by Jimmy Choo for women EDT 33  34 oz New Tester",22725,0,22725,909,0,909,1,0,1,1,0,1
"K by Dolce  Gabbana cologne for men EDP 33  34 oz New Tester",22724,22724,0,494,494,0,1,1,0,1,1,0
"Fierce By Abercrombie  Fitch 67oz200ml Mens Eau De Cologne Brand New Sealed",22687,22687,0,463,463,0,1,1,0,1,1,0
"Halloween Man X by Jesus Del Pozo 42 oz EDT Cologne for Men New In Box",22644,22644,0,612,612,0,1,1,0,1,1,0
"Invictus by Paco Rabanne cologne for men EDT 68 oz New In Box",22561,22561,0,293,293,0,1,1,0,1,1,0
"POLO SPORT FRESH by Ralph Lauren cologne for men EDT 42 oz New in Box",22356,22356,0,972,972,0,1,1,0,1,1,0
"Magnetism by Escada perfume for women EDP 25 oz New in Box",22140,0,22140,738,0,738,1,0,1,1,0,1
"ALT Fragrances  Crystal No 23 EDP Inspired by Baccarat Rouge 540, 2 oz",21707,0,21707,443,0,443,1,0,1,1,0,1
"PI by Givenchy cologne for men EDT 33  34 oz New Tester",21318,21318,0,627,627,0,1,1,0,1,1,0
"True Religion Perfume for Women 34 oz 100 ml EDP New in Box",21312,0,21312,888,0,888,1,0,1,1,0,1
"Reaction for Her by Kenneth Cole 33  34 oz EDP Perfume for Women New In Box",21160,0,21160,920,0,920,1,0,1,1,0,1
"Polo Blue by Ralph Lauren 42 oz EDT Cologne for Men Brand New In Box",20910,20910,0,615,615,0,1,1,0,1,1,0
"YSL La Nuit De LHomme Bleu Electrique EDT INTENSE 33 oz  100 ml New  Sealed",20880,20880,0,145,145,0,1,1,0,1,1,0
